FID, PD , LPI , ED , LSI , CONTAG , SHDI , SHEI , AI
3227,52.2017,95.4545,41.0771,1.2353,74.265,0.1849,0.2668,94.2562
3228,61.25,46.0,192.0354,2.7,5.9589,0.6874,0.9918,71.9633
3229,57.4219,86.25,93.1936,1.8462,46.0429,0.4004,0.5777,86.622
3230,12.2828,99.4652,7.2489,1.0714,95.0342,0.0333,0.0481,98.887
3231,36.3758,94.1176,61.3368,1.6667,67.7322,0.2237,0.3228,90.9713
3232,10.4403,99.0909,11.707,1.2021,92.5591,0.0518,0.0747,98.2359
3233,41.2259,84.7436,102.5347,3.1607,43.1477,0.4227,0.6098,84.8233
3234,123.0468,92.8571,72.6184,1.2727,64.2026,0.2573,0.3712,88.3275
3235,93.75,89.7959,89.9085,1.4643,53.2075,0.3295,0.4754,87.8103
3236,19.1406,100.0,0.0,1.0,0.0,0.0,0.0,100
3237,27.6067,71.6346,118.9359,2.2586,26.9948,0.5623,0.8113,83.289
3238,36.2664,95.0,57.9673,1.8333,71.3428,0.1985,0.2864,91.2452
3239,119.6289,58.3333,211.8037,2.0714,8.7818,0.6365,0.9183,68.1624
3240,54.6875,93.6508,48.4123,1.2812,68.0335,0.2365,0.3412,94.071
3241,20.5078,100.0,0.0,1.0,0.0,0.0,0.0,100
3242,24.1268,94.7479,51.972,1.9205,71.1473,0.2059,0.297,91.8695
3243,172.2656,90.0,101.6658,1.3333,54.4445,0.3251,0.469,83.3333
3244,63.8021,91.6667,75.308,1.5294,59.0898,0.2868,0.4138,88.8613
3245,45.9375,95.0,45.7496,1.5,72.8584,0.1985,0.2864,92.9152
3246,35.3365,93.3333,62.5636,1.6429,65.4469,0.2449,0.3534,90.9408
3247,76.5625,100.0,0.0,1.0,0.0,0.0,0.0,100
3248,20.5078,98.2143,12.1031,1.0909,88.7345,0.0896,0.1292,99.0129
3249,51.2695,58.0357,130.108,2.0227,16.3915,0.6518,0.9403,81.2938
3250,143.5546,87.5,84.7215,1.3,48.9146,0.3768,0.5436,91.0156
3251,63.8021,94.4444,42.3607,1.2647,71.8306,0.2146,0.3095,94.246
3252,47.8515,84.7222,84.7215,1.5294,43.9353,0.4275,0.6167,89.5318
3253,26.4791,86.4295,98.0046,3.8269,65.8088,0.4013,0.3652,85.5946
3254,58.5937,91.8367,76.0764,1.6,60.0313,0.2827,0.4079,88.0112
3255,95.7031,79.1667,98.8417,1.35,32.3531,0.5117,0.7383,90.3736
3256,37.9649,95.8678,42.0107,1.3409,75.4142,0.1721,0.2483,94.3251
