FID,PD,LPI,ED,LSI,CONTAG,SHDI,SHEI,AI
12459,34.3283,89.4022,85.1819,2.6818,53.6858,0.338,0.4877,87.4846
12460,30.222,77.4854,83.7306,2.6321,36.604,0.5242,0.7562,88.1316
12461,42.222,62.1324,148.2626,2.803,17.4048,0.624,0.9002,78.7814
12462,54.6875,87.3016,53.7914,1.3125,53.6332,0.3806,0.5491,94.3525
12463,41.0156,91.369,79.6786,2.0676,58.7535,0.2939,0.424,88.2747
12464,28.7109,89.6875,58.246,1.7639,58.5781,0.3251,0.469,92.0288
12465,43.0664,97.5,33.8886,1.2222,82.3396,0.1169,0.1687,94.6739
12466,28.4972,94.7891,54.659,2.1404,71.0082,0.2047,0.2953,91.9065
12467,76.5625,83.3333,112.962,1.4545,37.2559,0.4506,0.65,85
12468,95.7031,81.6667,175.0911,1.9688,31.8881,0.4764,0.6873,71.7222
12469,89.3229,77.7778,207.097,2.4474,23.2117,0.5297,0.7642,67.7886
12470,19.2046,96.3211,32.8685,1.4429,78.3736,0.1576,0.2274,95.1945
12471,76.5625,58.1818,174.5776,2.6346,8.8724,0.6776,0.9776,74.6514
12472,74.5738,55.8442,198.0503,2.25,4.968,0.6863,0.9901,71.0575
12473,50.7812,88.0952,86.4505,2.0714,50.8561,0.365,0.5266,87.3669
12474,38.2812,84.3333,97.1473,2.2286,42.5992,0.4341,0.6263,85.9216
12475,68.3594,53.5714,157.3399,2.0263,13.314,0.6444,0.9297,77.3103
12476,42.4139,82.6705,115.5293,2.5789,39.3964,0.4429,0.6389,83.131
12477,47.8515,97.9167,21.1804,1.1071,86.1497,0.1013,0.1461,96.6927
12478,27.9619,81.3913,107.8542,2.9062,37.2112,0.4753,0.6858,84.4628
12479,61.0107,86.25,119.6691,2.5694,43.5942,0.4004,0.5777,82.2563
12480,63.8021,90.1235,92.0431,1.8846,53.905,0.3224,0.4651,86.0637
12481,30.222,92.1053,57.9673,1.7429,63.2019,0.2762,0.3985,91.8175
12482,64.9117,84.3478,138.5012,2.5806,38.2476,0.4339,0.6259,78.5531
12483,114.8437,70.0,169.443,1.6818,14.0951,0.6109,0.8813,76.875
12484,44.3256,60.3509,210.466,3.6029,7.4422,0.6635,0.9573,68.6941
12485,53.833,80.4688,145.6151,2.2391,30.8092,0.4938,0.7125,77.8954
12486,85.0694,69.1358,246.8429,2.6389,10.8774,0.618,0.8916,61.4659
12487,40.1551,81.1189,142.1899,2.25,31.6602,0.4845,0.699,79.2434
12488,36.5412,89.5455,90.8831,2.0167,52.7593,0.335,0.4832,86.5867
12489,54.6875,89.5238,96.8246,2.0345,52.5201,0.3354,0.4839,85.7101
12490,17.4006,97.7273,30.8078,1.2609,83.7971,0.1085,0.1565,95.2321
12491,31.7749,95.2569,46.8815,1.6094,73.3004,0.1909,0.2754,92.7743
12492,78.125,55.7823,177.5117,2.66,8.837,0.6707,0.9677,72.9182
12493,23.9258,95.8333,42.3607,1.4167,75.1322,0.1732,0.2499,93.8161
12494,10.7666,98.4375,12.7082,1.1667,89.4729,0.0805,0.1161,98.5464
12495,25.3332,90.4412,67.2788,1.8182,58.1251,0.3153,0.4549,90.5454
12496,31.321,89.0909,80.1003,1.619,52.7107,0.3446,0.4972,89.063
12497,14.6859,98.7212,15.6009,1.225,90.0411,0.0685,0.0988,97.7632
12498,27.3437,98.2143,20.1718,1.1923,87.612,0.0896,0.1292,96.922
12499,20.148,93.2749,38.6449,1.527,69.291,0.2465,0.3556,94.9056
12500,63.0515,89.4118,102.3303,2.2031,52.0956,0.3378,0.4874,84.7571
12501,10.9375,99.5238,6.455,1.069,95.5071,0.0302,0.0436,99.0121
12502,39.7536,88.8462,105.576,2.3182,49.8952,0.3497,0.5045,83.5731
12503,57.4219,67.5,237.2202,2.0769,8.9585,0.6306,0.9097,63.1072
12504,55.0449,83.6601,129.2049,3.0581,38.3631,0.4417,0.6372,80.79
12505,109.375,83.3333,104.8933,1.5,38.5335,0.4506,0.65,86.5661
12506,73.6178,85.8974,121.6514,2.12,42.5373,0.4068,0.5869,82.0738
12507,33.288,90.6832,77.8806,2.2614,57.2449,0.3098,0.447,88.6258
12508,23.9258,98.9583,14.1202,1.2,91.2128,0.0579,0.0835,96.6299
12509,72.309,77.4074,163.1673,2.9697,25.2791,0.5343,0.7708,75.7127
12510,191.4062,70.8333,183.5632,1.65,14.5339,0.6036,0.8709,74.0833
12511,16.9959,96.5116,31.166,1.75,79.4625,0.1513,0.2183,95.343
12512,35.8887,98.4375,15.8853,1.0938,89.0926,0.0805,0.1161,97.5426
12513,23.2008,85.8586,75.308,1.55,47.5683,0.4075,0.5879,90.7786
12514,46.7882,86.6667,111.7069,2.3485,45.1063,0.3927,0.5665,83.4244
12515,89.7217,92.1875,84.7215,1.5,60.1002,0.2742,0.3955,87.4234
12516,22.0853,97.5962,21.1804,1.2241,84.764,0.1134,0.1636,97.2633
12517,31.901,95.5556,39.5367,1.4259,74.9835,0.1818,0.2623,94.319
12518,16.0621,99.3007,9.4793,1.0833,93.763,0.0417,0.0601,98.5368
12519,65.939,49.2823,199.4401,3.1552,6.4108,0.6791,0.9797,70.4467
